#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31687	9942305	5153979	3	0	88	100549	-1111
31688	9942305	5153979	1	0	88	100549	-1111
31689	9942304	5153979	0	0	88	100551	-1113
31690	9942303	5153979	0	0	88	100549	-1111
31691	9942302	5153979	0	0	88	100547	-1110
31692	9942302	5153979	0	0	88	100550	-1112
31693	9942302	5153979	1	0	88	100551	-1113
31694	9942302	5153979	1	0	88	100547	-1110
31695	9942302	5153979	0	0	88	100554	-1116
31696	9942302	5153979	0	0	88	100548	-1111
31697	9942302	5153979	0	0	88	100549	-1111
31698	9942302	5153979	0	0	88	100559	-1120
31699	9942302	5153979	0	0	88	100553	-1115
31700	9942302	5153979	0	0	88	100554	-1116
31701	9942302	5153979	0	0	88	100551	-1113
31702	9942302	5153979	0	0	88	100545	-1108
31703	9942302	5153979	18	0	88	100548	-1111
31704	9942302	5153979	16	0	88	100549	-1111
31705	9942302	5153979	16	0	88	100547	-1110
31706	9942303	5153979	33	0	88	100553	-1115
31707	9942303	5153979	14	0	88	100551	-1113
31708	9942304	5153979	0	0	87	100545	-1108
31709	9942304	5153979	0	0	87	100543	-1106
31710	9942305	5153979	0	0	87	100538	-1102
31711	9942305	5153979	0	0	87	100548	-1111
31712	9942305	5153979	0	0	87	100544	-1107
31713	9942305	5153979	0	0	87	100547	-1110
31714	9942305	5153979	0	0	87	100547	-1110
